Project ID Number,Lead_AQMD,n_aqmd_partners,n_county_partners,Agency_Name,Total_Funding,Total_GHG_Reductions,DAC_Funding,cost_per_ton,share_DAC,log_funding,cross_aqmd_collab,high_county_collab,SoCal_AQMD
00-099-03,San Diego,1,1,California State Coastal Conservancy,3192500,0,,,,14.976315180122924,0,0,1
02-070-05,Bay Area,1,1,California State Coastal Conservancy,947000,0,,,,13.761055428133867,0,0,0
02-070-06,Bay Area,1,1,California State Coastal Conservancy,396200,0,,,,12.889676937221191,0,0,0
08-036-02,Monterey Bay Unified,1,1,California State Coastal Conservancy,2000000,0,,,,14.508658238524095,0,0,0
08-057-02,Ventura,1,1,California State Coastal Conservancy,16200000,0,,,,16.600521861931007,0,0,1
1,Sacramento Metro,3,3,California Department of Food and Agriculture,3000000,0,0.0,,0.0,14.914123179965662,1,0,0
10,Shasta,2,2,California Department of Forestry and Fire Protection,859000,-853,,,,13.663525365110068,1,0,0
10123,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,152640,0,,,,11.935844038023337,0,0,0
10123-2021b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,39089,0,,,,10.573621958787001,0,0,0
10123-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,11589,0,,,,9.357897936333798,0,0,0
1016,Monterey Bay Unified,1,1,California Department of Fish and Wildlife,1596780,3297,,484.3130118289354,,14.28350028567095,0,0,0
10178-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,118852,0,,,,11.685642714371324,0,0,0
10178-2023a,Shasta,1,1,California Department of Forestry and Fire Protection,453449,0,,,,13.024640288875714,0,0,0
10260,San Diego,1,1,California Department of Forestry and Fire Protection,2901,0,,,,7.973155433444133,0,0,1
10291-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,17636,0,,,,9.777754247070364,0,0,0
10294-2023b,Butte,1,1,California Department of Forestry and Fire Protection,8794,0,,,,9.081938657171658,0,0,0
10310-2022a,Mendocino,1,1,California Department of Forestry and Fire Protection,291369,0,,,,12.582349216173663,0,0,0
10310-2022b,Mendocino,1,1,California Department of Forestry and Fire Protection,10940,0,,,,9.30027247947679,0,0,0
1034,South Coast,1,1,California Strategic Growth Council,30889626,21020,,1469.5350142721218,,17.245930989716648,0,0,1
10348,Feather River,1,1,California Department of Forestry and Fire Protection,8489,0,,,,9.046644279305394,0,0,0
10348-2021b,Feather River,1,1,California Department of Forestry and Fire Protection,175241,0,,,,12.073923154782133,0,0,0
10366-2022a,Tuolumne,1,1,California Department of Forestry and Fire Protection,96984,0,,,,11.482311606352392,0,0,0
10416,Calaveras,1,1,California Department of Forestry and Fire Protection,9027,0,,,,9.108086137937427,0,0,0
1042,Northern Sierra,1,1,California Department of Fish and Wildlife,3906128,34328,,113.78839431367979,,15.178057415987082,0,0,0
10432,Calaveras,1,1,California Department of Forestry and Fire Protection,126379,0,,,,11.747048520327446,0,0,0
10492,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,91584,0,,,,11.425022781794317,0,0,0
10492-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,34766,0,,,,10.4564239400025,0,0,0
10492-2022b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,14599,0,,,,9.588776807696428,0,0,0
10538,Yolo-Solano,1,1,California Department of Forestry and Fire Protection,140639,0,,,,11.853958712919004,0,0,0
10540-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,63491,0,,,,11.058669192692133,0,0,0
10540-2024a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,99758,0,,,,11.510512556245938,0,0,0
10545,Mendocino,1,1,California Department of Forestry and Fire Protection,623931,0,,,,13.343796667054454,0,0,0
10545-2021b,Mendocino,1,1,California Department of Forestry and Fire Protection,185091,0,,,,12.128608277746437,0,0,0
10545-2022a,Mendocino,1,1,California Department of Forestry and Fire Protection,17139,0,,,,9.749170192151771,0,0,0
10545-2023a,Mendocino,1,1,California Department of Forestry and Fire Protection,194063,0,,,,12.175943280548662,0,0,0
10545-2024a,Mendocino,1,1,California Department of Forestry and Fire Protection,66102,0,,,,11.098969410588996,0,0,0
10564,San Diego,1,1,California Department of Forestry and Fire Protection,2901,0,,,,7.973155433444133,0,0,1
10568-2022a,South Coast,1,1,California Department of Forestry and Fire Protection,109981,0,,,,11.608071995021026,0,0,1
10568-2024a,Mendocino,1,1,California Department of Forestry and Fire Protection,40054,0,,,,10.598008788649217,0,0,0
